PREV_PRCP_1,RAIN
0,1
0.47,1
0.59,1
0.42,1
0.31,1
0.17,1
0.44,1
0.41,1
0.04,1
0.12,1
0.74,1
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0.21,0
0,1
0.1,0
0,0
0,0
0,0
0,1
0.22,1
0.03,1
0.21,1
0.03,0
0,1
0.2,1
0.14,0
0,0
0,1
0.06,1
0.56,0
0,0
0,0
0,0
0,0
0,1
0.5,1
0.35,1
0.84,1
0.13,1
0.01,0
0,1
0.74,1
0.46,1
0.11,0
0,1
0.05,1
0.98,1
0.09,0
0,0
0,0
0,1
0.19,0
0,0
0,0
0,0
0,1
0.06,1
0.16,1
0.11,0
0,0
0,1
0.08,1
0.06,1
0.02,0
0,0
0,0
0,1
0.01,1
0.13,0
0,1
0.06,1
2.04,1
0.03,0
0,1
0.4,1
0.33,0
0,0
0,0
0,0
0,0
0,0
0,1
0.17,1
0.34,1
0.03,1
0.19,1
0.08,1
0.09,0
0,1
0.11,1
