RAIN,DATE,TMAX,TMIN,PRCP,PREV_PRCP_1,PREV_PRCP_2,PREV_PRCP_3,PREV_PRCP_4,PREV_PRCP_5,PREV_PRCP_6,PREV_PRCP_7,PREV_PRCP_8,PREV_PRCP_9,PREV_PRCP_10
TRUE,1948-01-01,51,42,0.47,0,0,0,0,0,0,0,0,0,0
TRUE,1948-01-02,45,36,0.59,0.47,0,0,0,0,0,0,0,0,0
TRUE,1948-01-03,45,35,0.42,0.59,0.47,0,0,0,0,0,0,0,0
TRUE,1948-01-04,45,34,0.31,0.42,0.59,0.47,0,0,0,0,0,0,0
TRUE,1948-01-05,45,32,0.17,0.31,0.42,0.59,0.47,0,0,0,0,0,0
TRUE,1948-01-06,48,39,0.44,0.17,0.31,0.42,0.59,0.47,0,0,0,0,0
TRUE,1948-01-07,50,40,0.41,0.44,0.17,0.31,0.42,0.59,0.47,0,0,0,0
TRUE,1948-01-08,48,35,0.04,0.41,0.44,0.17,0.31,0.42,0.59,0.47,0,0,0
TRUE,1948-01-09,50,31,0.12,0.04,0.41,0.44,0.17,0.31,0.42,0.59,0.47,0,0
TRUE,1948-01-10,43,34,0.74,0.12,0.04,0.41,0.44,0.17,0.31,0.42,0.59,0.47,0
TRUE,1948-01-11,42,32,0.01,0.74,0.12,0.04,0.41,0.44,0.17,0.31,0.42,0.59,0.47
FALSE,1948-01-12,41,26,0,0.01,0.74,0.12,0.04,0.41,0.44,0.17,0.31,0.42,0.59
FALSE,1948-01-13,45,29,0,0,0.01,0.74,0.12,0.04,0.41,0.44,0.17,0.31,0.42
FALSE,1948-01-14,38,26,0,0,0,0.01,0.74,0.12,0.04,0.41,0.44,0.17,0.31
FALSE,1948-01-15,34,31,0,0,0,0,0.01,0.74,0.12,0.04,0.41,0.44,0.17
FALSE,1948-01-16,34,28,0,0,0,0,0,0.01,0.74,0.12,0.04,0.41,0.44
FALSE,1948-01-17,35,29,0,0,0,0,0,0,0.01,0.74,0.12,0.04,0.41
FALSE,1948-01-18,33,28,0,0,0,0,0,0,0,0.01,0.74,0.12,0.04
FALSE,1948-01-19,34,27,0,0,0,0,0,0,0,0,0.01,0.74,0.12
FALSE,1948-01-20,36,29,0,0,0,0,0,0,0,0,0,0.01,0.74
FALSE,1948-01-21,48,32,0,0,0,0,0,0,0,0,0,0,0.01
TRUE,1948-01-22,47,44,0.21,0,0,0,0,0,0,0,0,0,0
FALSE,1948-01-23,47,43,0,0.21,0,0,0,0,0,0,0,0,0
TRUE,1948-01-24,45,34,0.1,0,0.21,0,0,0,0,0,0,0,0
FALSE,1948-01-25,46,30,0,0.1,0,0.21,0,0,0,0,0,0,0
FALSE,1948-01-26,45,32,0,0,0.1,0,0.21,0,0,0,0,0,0
FALSE,1948-01-27,53,33,0,0,0,0.1,0,0.21,0,0,0,0,0
FALSE,1948-01-28,53,25,0,0,0,0,0.1,0,0.21,0,0,0,0
TRUE,1948-01-29,42,34,0.22,0,0,0,0,0.1,0,0.21,0,0,0
TRUE,1948-01-30,47,30,0.03,0.22,0,0,0,0,0.1,0,0.21,0,0
TRUE,1948-01-31,35,27,0.21,0.03,0.22,0,0,0,0,0.1,0,0.21,0
TRUE,1948-02-01,39,30,0.03,0.21,0.03,0.22,0,0,0,0,0.1,0,0.21
FALSE,1948-02-02,43,26,0,0.03,0.21,0.03,0.22,0,0,0,0,0.1,0
TRUE,1948-02-03,38,26,0.2,0,0.03,0.21,0.03,0.22,0,0,0,0,0.1
TRUE,1948-02-04,39,31,0.14,0.2,0,0.03,0.21,0.03,0.22,0,0,0,0
FALSE,1948-02-05,36,26,0,0.14,0.2,0,0.03,0.21,0.03,0.22,0,0,0
FALSE,1948-02-06,43,20,0,0,0.14,0.2,0,0.03,0.21,0.03,0.22,0,0
TRUE,1948-02-07,43,27,0.06,0,0,0.14,0.2,0,0.03,0.21,0.03,0.22,0
TRUE,1948-02-08,44,35,0.56,0.06,0,0,0.14,0.2,0,0.03,0.21,0.03,0.22
FALSE,1948-02-09,45,32,0,0.56,0.06,0,0,0.14,0.2,0,0.03,0.21,0.03
FALSE,1948-02-10,39,27,0,0,0.56,0.06,0,0,0.14,0.2,0,0.03,0.21
FALSE,1948-02-11,46,23,0,0,0,0.56,0.06,0,0,0.14,0.2,0,0.03
FALSE,1948-02-12,43,26,0,0,0,0,0.56,0.06,0,0,0.14,0.2,0
FALSE,1948-02-13,47,35,0,0,0,0,0,0.56,0.06,0,0,0.14,0.2
TRUE,1948-02-14,46,39,0.5,0,0,0,0,0,0.56,0.06,0,0,0.14
TRUE,1948-02-15,45,37,0.35,0.5,0,0,0,0,0,0.56,0.06,0,0
TRUE,1948-02-16,52,37,0.84,0.35,0.5,0,0,0,0,0,0.56,0.06,0
TRUE,1948-02-17,57,46,0.13,0.84,0.35,0.5,0,0,0,0,0,0.56,0.06
TRUE,1948-02-18,49,32,0.01,0.13,0.84,0.35,0.5,0,0,0,0,0,0.56
FALSE,1948-02-19,45,30,0,0.01,0.13,0.84,0.35,0.5,0,0,0,0,0
TRUE,1948-02-20,45,35,0.74,0,0.01,0.13,0.84,0.35,0.5,0,0,0,0
TRUE,1948-02-21,49,37,0.46,0.74,0,0.01,0.13,0.84,0.35,0.5,0,0,0
TRUE,1948-02-22,47,38,0.11,0.46,0.74,0,0.01,0.13,0.84,0.35,0.5,0,0
FALSE,1948-02-23,47,36,0,0.11,0.46,0.74,0,0.01,0.13,0.84,0.35,0.5,0
